iter	RMSE
0	3.112413416
1	3.06470604
2	3.017699896
3	2.973948027
4	2.930214047
5	2.88843021
6	2.846719594
7	2.806175072
8	2.765173524
9	2.725143672
10	2.68751286
11	2.649801396
12	2.613365834
13	2.576723446
14	2.542303057
15	2.507511496
16	2.474442766
17	2.441845885
18	2.409188815
19	2.37870829
20	2.348007491
21	2.317899926
22	2.288158379
23	2.26005296
24	2.232732553
25	2.206828805
26	2.17998395
27	2.154984176
28	2.13086827
29	2.106642383
30	2.083342515
31	2.060162788
32	2.038012201
33	2.016044689
34	1.995028475
35	1.975211113
36	1.954784371
37	1.935748841
38	1.916358849
39	1.89751869
40	1.879535775
41	1.861213978
42	1.843704115
43	1.827238651
44	1.810722455
45	1.794820578
46	1.779135257
47	1.764553893
48	1.749968587
49	1.735830547
50	1.721946131
51	1.708932217
52	1.695419823
53	1.682725551
54	1.670297658
55	1.658305977
56	1.646285987
57	1.634629218
58	1.623854875
59	1.61319048
60	1.602637711
61	1.592745543
62	1.582811276
63	1.573379313
64	1.563742834
65	1.554686465
66	1.545886196
67	1.536173543
68	1.527773014
69	1.519381313
70	1.511664234
71	1.504185253
72	1.495683957
73	1.488569279
74	1.481498024
75	1.475008102
76	1.468366765
77	1.461829162
78	1.455649246
79	1.45000303
80	1.443959715
81	1.438471353
82	1.432009862
83	1.426612988
84	1.421261838
85	1.415919735
86	1.410851191
87	1.405552476
88	1.401011449
89	1.396559749
90	1.391092243
91	1.385846077
92	1.381304418
93	1.377475133
94	1.373437355
95	1.369631204
96	1.365436104
97	1.361405165
98	1.357610042
99	1.354348523
100	1.351058576
101	1.347585247
102	1.344172051
103	1.340935934
104	1.33781005
105	1.334724405
106	1.33175366
107	1.32866474
108	1.325618733
109	1.322656616
110	1.319655184
111	1.317300472
112	1.3150207
113	1.312356585
114	1.31031544
115	1.30815057
116	1.305823108
117	1.303360171
118	1.301291942
119	1.298952824
120	1.296951026
121	1.294759327
122	1.292662113
123	1.290821601
124	1.288757814
125	1.287085933
126	1.285305259
127	1.28378326
128	1.282115212
129	1.280545941
130	1.278777663
131	1.277042282
132	1.275726597
133	1.274396242
134	1.272745544
135	1.271357578
136	1.26994174
137	1.26872646
138	1.26739849
139	1.26610352
140	1.265055663
141	1.263969106
142	1.262941329
143	1.261750007
144	1.260679262
145	1.259267986
146	1.258164133
147	1.257178934
148	1.256023003
149	1.255116605
150	1.254072091
151	1.252823461
152	1.252032082
153	1.251259368
154	1.250184482
155	1.249520157
156	1.248762474
157	1.248079364
158	1.247404493
159	1.246688748
160	1.245980886
161	1.245225382
162	1.244640046
163	1.244032656
164	1.243430028
165	1.24266014
166	1.242047402
167	1.241361126
168	1.240641845
169	1.240218426
170	1.239572455
171	1.239071475
172	1.238403398
173	1.23793174
174	1.23739725
175	1.236846428
176	1.236325352
177	1.23564396
178	1.235135885
179	1.234518061
180	1.233921813
181	1.233460712
182	1.232944376
183	1.232366941
184	1.232009699
185	1.231518057
186	1.230942449
187	1.230449115
188	1.229899203
189	1.229555707
190	1.229209165
191	1.228741897
192	1.22832683
193	1.22775874
194	1.227390349
195	1.227083327
196	1.226476964
197	1.226257766
198	1.2259591
199	1.225652746
200	1.225320715
201	1.224906794
202	1.224310056
203	1.223973911
204	1.22369932
205	1.223353943
206	1.222801113
207	1.222375783
208	1.221973465
209	1.221727079
210	1.221459753
211	1.221089488
212	1.220816279
213	1.220396883
214	1.220128138
215	1.219868207
216	1.219602103
217	1.219332776
218	1.219135371
219	1.218799907
220	1.218544598
221	1.2182061
222	1.217789584
223	1.217544683
224	1.217259657
225	1.216966684
226	1.216681213
227	1.216380096
228	1.216219916
229	1.215879437
