iter	Passed	Remaining
0	273	821567
1	400	599717
2	632	631467
3	767	575185
4	972	582645
5	1111	554866
6	1316	562727
7	1453	543685
8	1659	551513
9	1801	538730
10	2024	550127
11	2164	538968
12	2375	545783
13	2509	535143
14	2718	540990
15	2866	534676
16	3066	538026
17	3201	530460
18	3402	533859
19	3536	526900
20	3739	530544
21	3868	523683
22	4065	526158
23	4194	520147
24	4383	521663
25	4512	516171
26	4717	519402
27	4849	514770
28	5045	516935
29	5180	512838
30	5402	517449
31	5532	513106
32	5727	514965
33	5858	511043
34	6055	512990
35	6186	509388
36	6377	510748
37	6508	507292
38	6701	508817
39	6828	505289
40	7020	506690
41	7148	503487
42	7342	504908
43	7477	502341
44	7676	504069
45	7804	501192
46	7999	502624
47	8129	499967
48	8323	501302
49	8451	498664
50	8644	499862
51	8774	497450
52	8965	498526
53	9098	496353
54	9295	497753
55	9424	495478
56	9639	497691
57	9771	495639
58	9964	496699
59	10098	494804
60	10302	496397
61	10431	494327
62	10622	495205
63	10748	493097
64	10941	494070
65	11073	492282
66	11266	493207
67	11398	491490
68	11593	492466
69	11734	491172
70	11930	492166
71	12062	490561
72	12267	491873
73	12391	489979
74	12583	490746
75	12710	489010
76	12903	489817
77	13033	488255
78	13229	489139
79	13360	487653
80	13562	488742
81	13695	487364
82	13893	488288
83	14028	487002
84	14226	487873
85	14360	486576
86	14553	487298
87	14686	485998
88	14882	486762
89	15011	485381
90	15207	486142
91	15340	484887
92	15531	485500
93	15663	484225
94	15862	485047
95	15997	483918
96	16196	484727
97	16327	483479
98	16532	484446
99	16660	483156
100	16864	484060
101	16994	482835
102	17196	483675
103	17324	482429
104	17520	483078
105	17654	481995
106	17849	482599
107	17982	481524
108	18190	482458
109	18322	481393
110	18528	482237
111	18655	481050
112	18850	481604
113	18979	480478
114	19174	481020
115	19303	479929
116	19499	480497
117	19632	479494
118	19819	479830
119	19948	478756
120	20139	479182
121	20266	478085
122	20451	478376
123	20577	477255
124	20776	477869
125	20906	476858
126	21099	477324
127	21230	476350
128	21421	476755
129	21553	475830
130	21751	476374
131	21880	475412
132	22127	476981
133	22261	476123
134	22466	476798
135	22598	475902
136	22783	476116
137	22903	475005
138	23089	475243
139	23211	474187
140	23410	474689
141	23532	473626
142	23738	474271
143	23865	473337
144	24053	473613
145	24183	472742
146	24374	473071
147	24494	472025
148	24704	472694
149	24835	471879
150	25029	472237
151	25159	471404
152	25352	471748
153	25479	470875
154	25675	471272
155	25802	470401
156	25999	470799
157	26121	469861
158	26316	470219
159	26448	469455
160	26643	469826
161	26773	469026
162	26968	469381
163	27102	468667
164	27300	469074
165	27436	468410
166	27628	468688
167	27758	467930
168	27950	468212
169	28078	467418
170	28271	467714
171	28398	466919
172	28593	467245
173	28725	466546
174	28927	466972
175	29059	466279
176	29252	466559
177	29382	465833
178	29576	466123
179	29703	465358
180	29906	465783
181	30037	465081
182	30235	465428
183	30369	464790
184	30576	465251
185	30709	464597
186	30915	465055
187	31051	464452
188	31244	464704
189	31376	464035
190	31569	464293
191	31707	463728
192	31909	464092
193	32045	463510
194	32242	463794
195	32369	463087
196	32572	463460
197	32704	462823
198	32900	463088
199	33027	462390
200	33220	462603
201	33349	461941
202	33568	462520
203	33694	461819
204	33888	462034
205	34014	461338
206	34211	461609
207	34336	460903
208	34540	461251
209	34663	460523
210	34854	460702
211	34985	460097
212	35187	460414
213	35316	459769
214	35505	459919
215	35630	459237
216	35820	459390
217	35947	458746
218	36147	459023
219	36278	458432
220	36472	458633
221	36596	457955
222	36789	458133
223	36921	457566
224	37114	457747
225	37243	457141
226	37434	457293
227	37560	456651
228	37746	456745
229	37873	456133
230	38060	456227
231	38180	455533
232	38379	455774
233	38508	455192
234	38704	455399
235	38834	454823
236	39040	455145
237	39165	454522
238	39356	454661
239	39488	454115
240	39689	454365
241	39819	453813
242	40019	454049
243	40146	453458
244	40345	453684
245	40471	453088
246	40669	453293
247	40798	452726
248	41001	452991
249	41133	452469
250	41320	452545
251	41449	451995
252	41639	452112
253	41764	451520
254	41965	451742
255	42100	451267
256	42295	451422
257	42421	450849
258	42615	450999
259	42743	450453
260	42938	450605
261	43075	450159
262	43264	450245
263	43390	449688
264	43585	449832
265	43713	449292
266	43910	449470
267	44047	449019
268	44239	449135
269	44370	448638
270	44571	448835
271	44696	448282
272	44881	448317
273	45006	447767
274	45203	447921
275	45335	447442
276	45529	447567
277	45660	447075
278	45857	447233
279	45990	446762
280	46183	446881
281	46306	446313
282	46496	446394
283	46625	445892
284	46816	445986
285	46938	445419
286	47130	445525
287	47256	445000
288	47451	445120
289	47575	444580
290	47776	444760
291	47903	444254
292	48103	444423
293	48230	443915
294	48423	444021
295	48548	443498
296	48750	443682
297	48884	443243
298	49080	443367
299	49209	442888
300	49404	442996
301	49533	442519
302	49719	442555
303	49842	442019
304	50031	442083
305	50162	441628
306	50356	441723
307	50484	441244
308	50696	441498
309	50841	441175
310	51031	441234
311	51152	440698
312	51350	440825
313	51477	440343
314	51678	440499
315	51801	439981
316	51988	440018
317	52120	439584
318	52312	439652
319	52442	439203
320	52652	439426
321	52777	438940
322	52970	439019
323	53102	438586
324	53303	438727
325	53433	438284
326	53644	438504
327	53772	438052
328	53966	438131
329	54093	437667
330	54293	437788
331	54428	437397
332	54623	437483
333	54751	437029
334	54951	437149
335	55082	436728
336	55294	436940
337	55424	436506
338	55619	436591
339	55755	436202
340	55963	436386
341	56099	435999
342	56304	436155
343	56444	435801
344	56647	435936
345	56777	435512
346	56972	435587
347	57099	435133
348	57303	435275
349	57430	434833
350	57622	434878
351	57760	434517
352	57955	434586
353	58080	434125
354	58274	434187
355	58402	433754
356	58597	433820
357	58724	433379
358	58914	433405
359	59039	432959
360	59237	433039
361	59360	432579
362	59558	432664
363	59682	432209
364	59876	432258
365	60002	431824
366	60189	431825
367	60318	431406
368	60507	431421
369	60634	430999
370	60833	431080
371	60959	430646
372	61150	430678
373	61272	430215
374	61458	430212
375	61582	429769
376	61776	429810
377	61902	429388
378	62096	429430
379	62221	429001
380	62412	429024
381	62543	428636
382	62732	428645
383	62862	428248
384	63055	428286
385	63181	427869
386	63372	427890
387	63504	427512
388	63692	427507
389	63819	427101
390	64011	427127
391	64148	426781
392	64347	426857
393	64471	426429
394	64663	426452
395	64794	426070
396	64983	426072
397	65109	425668
398	65296	425654
399	65423	425253
400	65614	425265
401	65744	424886
402	65954	425021
403	66078	424605
404	66271	424629
405	66400	424242
406	66592	424260
407	66718	423861
408	66916	423914
409	67044	423522
410	67237	423547
411	67359	423122
412	67549	423126
413	67681	422763
414	67877	422802
415	68007	422428
416	68193	422405
417	68323	422038
418	68510	422017
419	68636	421622
420	68830	421645
421	68959	421274
422	69148	421267
423	69274	420875
424	69467	420893
425	69602	420555
426	69791	420547
427	69925	420203
428	70130	420293
429	70258	419917
430	70461	419987
431	70586	419599
432	70789	419669
433	70929	419364
434	71119	419359
435	71242	418959
436	71436	418975
437	71562	418593
438	71752	418582
439	71881	418220
440	72075	418236
441	72206	417880
442	72401	417902
443	72534	417560
444	72729	417581
445	72860	417233
446	73050	417221
447	73177	416849
448	73374	416876
449	73498	416492
450	73690	416488
451	73819	416132
452	74008	416115
453	74138	415766
454	74325	415732
455	74457	415392
456	74654	415419
457	74782	415058
458	74966	415009
459	75088	414618
460	75295	414698
461	75417	414305
462	75603	414268
463	75730	413909
464	75919	413884
465	76042	413500
466	76233	413486
467	76362	413140
468	76546	413089
469	76678	412756
470	76870	412749
471	76997	412393
472	77190	412391
473	77314	412017
474	77512	412042
475	77635	411663
476	77826	411647
477	77961	411335
478	78151	411317
479	78279	410964
480	78477	410985
481	78604	410635
482	78803	410661
483	78927	410293
484	79113	410247
485	79241	409903
486	79433	409890
487	79562	409551
488	79756	409546
489	79882	409194
490	80071	409163
491	80191	408778
492	80375	408727
493	80502	408377
494	80686	408321
495	80805	407937
496	80995	407908
497	81122	407568
498	81313	407547
499	81443	407216
500	81633	407190
501	81755	406820
502	81944	406790
503	82072	406456
504	82261	406418
505	82410	406189
506	82622	406268
507	82745	405911
508	82934	405876
509	83058	405522
510	83252	405508
511	83380	405175
512	83580	405194
513	83710	404873
514	83907	404874
515	84038	404558
516	84229	404529
517	84354	404187
518	84555	404203
519	84691	403912
520	84880	403876
521	85015	403580
522	85203	403536
523	85333	403215
524	85520	403167
525	85648	402838
526	85841	402821
527	85964	402472
528	86154	402435
529	86285	402124
530	86483	402125
531	86604	401767
532	86796	401737
533	86926	401424
534	87115	401384
535	87249	401088
536	87448	401088
537	87581	400791
538	87777	400781
539	87909	400476
540	88099	400436
541	88223	400099
542	88415	400068
543	88545	399757
544	88748	399775
545	88875	399451
546	89065	399410
547	89189	399074
548	89390	399083
549	89519	398769
550	89713	398745
551	89856	398495
552	90054	398486
553	90189	398199
554	90381	398165
555	90508	397846
556	90701	397815
557	90834	397522
558	91026	397486
559	91153	397168
560	91352	397164
561	91482	396857
562	91681	396851
563	91804	396516
564	92003	396509
565	92128	396184
566	92317	396136
567	92444	395817
568	92646	395824
569	92771	395500
570	92966	395472
571	93090	395147
572	93287	395126
573	93418	394832
574	93625	394854
575	93749	394530
576	93948	394519
577	94074	394202
578	94263	394148
579	94394	393852
580	94587	393814
581	94720	393528
582	94906	393461
583	95038	393174
584	95226	393115
585	95355	392811
586	95539	392736
587	95664	392421
588	95852	392361
589	95975	392037
590	96166	391989
591	96295	391689
592	96483	391628
593	96605	391302
594	96794	391246
595	96923	390947
596	97118	390915
597	97243	390599
598	97439	390569
599	97570	390281
600	97769	390262
601	97903	389987
602	98098	389952
603	98224	389644
604	98408	389569
605	98532	389251
606	98726	389213
607	98855	388919
608	99046	388866
609	99176	388575
610	99369	388533
611	99500	388245
612	99700	388231
613	99827	387929
614	100025	387902
615	100158	387625
616	100362	387624
617	100498	387357
618	100688	387301
619	100830	387059
620	101023	387012
621	101154	386730
622	101352	386701
623	101477	386396
624	101684	386400
625	101829	386172
626	102022	386124
627	102146	385814
628	102332	385741
629	102454	385422
630	102637	385339
631	102761	385029
632	102943	384938
633	103065	384627
634	103248	384538
635	103369	384222
636	103560	384165
637	103684	383858
638	103879	383817
639	104013	383549
640	104198	383468
641	104324	383173
642	104514	383112
643	104629	382776
644	104812	382685
645	104933	382372
646	105128	382330
647	105248	382013
648	105433	381933
649	105556	381628
650	105740	381542
651	105864	381240
652	106047	381152
653	106170	380848
654	106368	380813
655	106491	380510
656	106672	380415
657	106795	380112
658	106979	380027
659	107100	379720
660	107287	379644
661	107410	379343
662	107596	379266
663	107724	378981
664	107907	378891
665	108026	378578
666	108214	378506
667	108340	378219
668	108534	378167
669	108661	377882
670	108852	377819
671	108972	377513
672	109153	377413
673	109272	377104
674	109458	377024
675	109581	376725
676	109770	376656
677	109891	376354
678	110085	376299
679	110206	375997
680	110400	375945
681	110520	375639
682	110702	375547
683	110826	375253
684	111016	375187
685	111138	374890
686	111322	374802
687	111444	374505
688	111627	374413
689	111748	374114
690	111933	374028
691	112055	373734
692	112241	373651
693	112367	373369
694	112550	373279
695	112669	372976
696	112852	372882
697	112969	372573
698	113149	372471
699	113269	372171
700	113451	372074
701	113569	371769
702	113750	371671
703	113874	371386
704	114064	371316
705	114180	371007
706	114370	370934
707	114490	370638
708	114674	370550
709	114797	370261
710	114976	370157
711	115099	369869
712	115298	369829
713	115425	369554
714	115643	369574
715	115773	369312
716	115960	369230
717	116081	368939
718	116273	368873
719	116394	368581
720	116581	368502
721	116704	368215
722	116888	368124
723	117008	367833
724	117200	367767
725	117321	367477
726	117512	367407
727	117635	367125
728	117813	367014
729	117928	366708
730	118108	366603
731	118223	366299
732	118406	366202
733	118523	365903
734	118712	365827
735	118840	365562
736	119027	365479
737	119144	365181
738	119331	365098
739	119450	364807
740	119640	364735
741	119767	364466
742	119950	364370
743	120073	364093
744	120258	364003
745	120384	363736
746	120579	363674
747	120713	363430
748	120906	363365
749	121033	363100
750	121219	363013
751	121341	362732
752	121525	362641
753	121648	362365
754	121835	362279
755	121956	361997
756	122138	361899
757	122265	361633
758	122450	361542
759	122570	361260
760	122772	361218
761	122899	360956
762	123078	360847
763	123206	360588
764	123405	360536
765	123533	360278
766	123729	360218
767	123852	359945
768	124038	359857
769	124157	359573
770	124346	359491
771	124498	359304
772	124703	359269
773	124832	359014
774	125030	358957
775	125159	358704
776	125355	358641
777	125480	358376
778	125672	358304
779	125807	358067
780	126007	358017
781	126166	357848
782	126358	357774
783	126503	357565
784	126700	357505
785	126832	357260
786	127058	357282
787	127191	357041
788	127389	356982
789	127529	356759
790	127729	356704
791	127864	356470
792	128074	356443
793	128204	356196
794	128421	356186
795	128549	355934
796	128759	355905
797	128887	355651
798	129086	355592
799	129223	355365
800	129417	355293
801	129545	355037
802	129759	355019
803	129887	354766
804	130074	354676
805	130206	354434
806	130390	354331
807	130518	354080
808	130717	354020
809	130850	353781
810	131084	353815
811	131236	353627
812	131424	353535
813	131553	353287
814	131745	353207
815	131869	352946
816	132064	352873
817	132191	352619
818	132380	352530
819	132509	352281
820	132701	352200
821	132823	351932
822	133016	351856
823	133143	351602
824	133331	351509
825	133467	351280
826	133661	351204
827	133785	350944
828	134001	350924
829	134125	350666
830	134331	350619
831	134457	350365
832	134648	350279
833	134771	350017
834	134961	349929
835	135083	349666
836	135278	349589
837	135399	349325
838	135593	349246
839	135722	349001
840	135925	348946
841	136046	348679
842	136227	348566
843	136350	348308
844	136548	348239
845	136684	348012
846	136876	347928
847	136995	347659
848	137178	347550
849	137301	347293
850	137489	347196
851	137617	346951
852	137813	346875
853	137941	346631
854	138142	346568
855	138271	346324
856	138456	346221
857	138581	345970
858	138768	345870
859	138897	345628
860	139087	345538
861	139214	345291
862	139401	345191
863	139529	344947
864	139727	344876
865	139847	344611
866	140035	344517
867	140160	344264
868	140360	344198
869	140486	343948
870	140676	343857
871	140803	343611
872	141015	343573
873	141143	343329
874	141350	343280
875	141476	343031
876	141690	342998
877	141824	342769
878	142019	342688
879	142141	342431
880	142328	342331
881	142450	342075
882	142634	341968
883	142757	341713
884	142946	341618
885	143068	341362
886	143253	341256
887	143373	340996
888	143558	340890
889	143682	340640
890	143875	340554
891	143998	340300
892	144180	340188
893	144303	339935
894	144488	339830
895	144610	339577
896	144794	339468
897	144915	339210
898	145103	339113
899	145243	338902
900	145440	338823
901	145563	338573
902	145762	338498
903	145891	338260
904	146084	338173
905	146204	337917
906	146393	337817
907	146522	337583
908	146711	337483
909	146838	337243
910	147048	337195
911	147179	336962
912	147364	336855
913	147489	336612
914	147678	336513
915	147799	336260
916	147994	336174
917	148126	335947
918	148308	335831
919	148428	335577
920	148617	335479
921	148746	335245
922	148955	335189
923	149086	334959
924	149280	334872
925	149403	334625
926	149595	334532
927	149734	334320
928	149928	334233
929	150060	334005
930	150256	333922
931	150388	333694
932	150580	333600
933	150706	333361
934	150891	333252
935	151014	333005
936	151212	332926
937	151346	332704
938	151545	332624
939	151680	332405
940	151879	332326
941	152009	332096
942	152201	332002
943	152336	331784
944	152520	331670
945	152640	331421
946	152828	331317
947	152948	331066
948	153149	330989
949	153273	330748
950	153466	330655
951	153591	330416
952	153775	330301
953	153895	330052
954	154082	329945
955	154212	329719
956	154408	329631
957	154534	329393
958	154727	329299
959	154855	329068
960	155044	328964
961	155173	328736
962	155356	328620
963	155488	328396
964	155679	328297
965	155805	328063
966	155989	327949
967	156114	327710
968	156301	327604
969	156426	327366
970	156620	327274
971	156741	327028
972	156951	326968
973	157164	326915
974	157373	326852
975	157500	326620
976	157714	326568
977	157837	326327
978	158034	326237
979	158157	325997
980	158353	325907
981	158481	325677
982	158681	325594
983	158803	325354
984	159007	325279
985	159147	325074
986	159345	324987
987	159470	324751
988	159674	324677
989	159796	324436
990	160011	324383
991	160141	324158
992	160814	325029
993	161335	325592
994	161986	326414
995	162571	327101
996	163238	327950
997	163735	328455
998	164382	329259
999	164948	329896
1000	165587	330679
1001	166156	331318
1002	166783	332069
1003	167342	332685
1004	167955	333404
1005	168436	333859
1006	169079	334632
1007	169552	335068
1008	170157	335761
1009	170666	336262
1010	171312	337033
1011	171814	337516
1012	172415	338193
1013	172904	338647
1014	173536	339378
1015	174024	339828
1016	174622	340487
1017	175105	340922
1018	175740	341650
1019	176227	342088
1020	176838	342765
1021	177327	343203
1022	177994	343983
1023	178521	344490
1024	179109	345113
1025	179625	345596
1026	180253	346290
1027	180745	346722
1028	181363	347393
1029	181874	347856
1030	182493	348525
1031	182988	348954
1032	183604	349613
1033	184105	350048
1034	184738	350734
1035	185217	351126
1036	185818	351747
1037	186350	352235
1038	187160	353245
1039	187666	353678
1040	188305	354362
1041	188793	354757
1042	189407	355389
1043	189902	355793
1044	190522	356432
1045	191005	356811
1046	191654	357499
1047	192167	357930
1048	192798	358579
1049	193292	358971
1050	193904	359580
1051	194422	360015
1052	195022	360597
1053	195506	360964
1054	196117	361562
1055	196645	362005
1056	197236	362563
1057	197718	362919
1058	198346	363541
1059	198860	363952
1060	199465	364528
1061	200519	365920
1062	201222	366668
1063	201730	367058
1064	202346	367644
1065	202865	368051
1066	203483	368634
1067	203965	368971
1068	204597	369577
1069	205130	370001
1070	205780	370635
1071	206359	371139
1072	207116	371961
1073	207734	372528
1074	208391	373166
1075	208904	373542
1076	209501	374068
1077	210027	374464
1078	210639	375012
1079	211138	375356
1080	211779	375952
1081	212297	376328
1082	212930	376904
1083	213416	377218
1084	214063	377817
1085	214617	378248
1086	215233	378786
1087	215725	379105
1088	216370	379691
1089	216867	380015
1090	217599	380748
1091	218225	381295
1092	218883	381894
1093	219378	382207
1094	220003	382745
1095	220516	383086
1096	221134	383608
1097	221642	383938
1098	222283	384496
1099	222792	384823
1100	223414	385344
1101	223905	385637
1102	224543	386181
1103	225059	386515
1104	225681	387029
1105	226180	387329
1106	226832	387889
1107	227327	388180
1108	227942	388674
1109	228432	388952
1110	229063	389470
1111	229553	389745
1112	230236	390347
1113	230741	390644
1114	231373	391155
1115	231857	391414
1116	232459	391872
1117	232954	392147
1118	233583	392645
1119	234077	392915
1120	234682	393370
1121	235188	393656
1122	235801	394122
1123	236268	394341
1124	236883	394805
1125	237395	395097
1126	238062	395643
1127	238549	395890
1128	239157	396335
1129	239677	396635
1130	240274	397059
1131	240779	397328
1132	241392	397774
1133	241920	398080
1134	242535	398527
1135	243047	398803
1136	243664	399249
1137	244166	399506
1138	244768	399924
1139	245267	400173
1140	245899	400637
1141	246410	400901
1142	247016	401320
1143	247519	401569
1144	248134	401999
1145	248639	402250
1146	249258	402681
1147	249843	403057
1148	250518	403576
1149	251014	403806
1150	251643	404246
1151	252163	404512
1152	252768	404912
1153	253276	405153
1154	253902	405584
1155	254417	405836
1156	255040	406257
1157	255524	406455
1158	256143	406867
1159	256665	407125
1160	257276	407520
1161	257765	407721
1162	258374	408111
1163	258887	408348
1164	259493	408729
1165	260034	409007
1166	260776	409599
1167	261274	409806
1168	261888	410194
1169	262389	410404
1170	263019	410813
1171	263510	411004
1172	264140	411410
1173	264650	411627
1174	265281	412032
1175	265783	412235
1176	266396	412609
1177	266884	412787
1178	267518	413190
1179	268004	413363
1180	268607	413715
1181	269102	413898
1182	269725	414278
1183	270207	414440
1184	270820	414801
1185	271309	414970
1186	271925	415332
1187	272427	415520
1188	273041	415877
1189	273582	416120
1190	274201	416481
1191	274704	416665
1192	275324	417025
1193	275836	417220
1194	276477	417608
1195	276983	417791
1196	277606	418149
1197	278145	418379
1198	278759	418720
1199	279276	418914
1200	279918	419295
1201	280504	419590
1202	281135	419950
1203	281676	420175
1204	282346	420590
1205	282863	420777
1206	283496	421134
1207	284022	421331
1208	284685	421730
1209	285235	421960
1210	285846	422279
1211	286384	422487
1212	287013	422831
1213	287527	423001
1214	288177	423372
1215	288697	423550
1216	289335	423899
1217	289821	424024
1218	290465	424379
1219	290958	424512
1220	291576	424827
1221	292073	424964
1222	292711	425305
1223	293202	425431
1224	293821	425741
1225	294350	425919
1226	294987	426253
1227	295478	426374
1228	296091	426670
1229	296612	426832
1230	297278	427201
1231	297883	427482
1232	298506	427786
1233	299021	427935
1234	299643	428234
1235	300151	428371
1236	300784	428685
1237	301321	428859
1238	301941	429151
1239	302448	429281
1240	303089	429599
1241	303602	429736
1242	304215	430013
1243	304719	430134
1244	305358	430445
1245	305869	430573
1246	306510	430883
1247	306996	430975
1248	307643	431291
1249	308132	431384
1250	308736	431638
1251	309251	431765
1252	309889	432064
1253	310392	432173
1254	311013	432445
1255	311529	432568
1256	312150	432838
1257	312779	433117
1258	313448	433450
1259	313998	433616
1260	314620	433881
1261	315110	433962
1262	315763	434268
1263	316273	434376
1264	316923	434673
1265	317439	434787
1266	318092	435086
1267	318600	435186
1268	319230	435451
1269	319753	435569
1270	320393	435845
1271	320923	435971
1272	321540	436214
1273	322060	436323
1274	322695	436588
1275	323193	436665
1276	323809	436902
1277	324346	437030
1278	324979	437286
1279	325475	437357
1280	326129	437639
1281	326676	437777
1282	327312	438032
1283	327798	438085
1284	328438	438343
1285	328947	438425
1286	329567	438655
1287	330066	438721
1288	330694	438959
1289	331185	439012
1290	331812	439247
1291	332310	439308
1292	332966	439577
1293	333460	439631
1294	334110	439890
1295	334632	439980
1296	335258	440204
1297	335769	440276
1298	336383	440483
1299	336906	440569
1300	337519	440773
1301	338020	440828
1302	338638	441036
1303	339164	441121
1304	339783	441327
1305	340296	441395
1306	340917	441601
1307	341449	441690
1308	342083	441912
1309	342595	441974
1310	343229	442192
1311	343711	442214
1312	344351	442438
1313	344847	442475
1314	345472	442678
1315	345976	442723
1316	346579	442896
1317	347079	442934
1318	347731	443165
1319	348260	443241
1320	348893	443445
1321	349412	443506
1322	350050	443715
1323	350561	443762
1324	351174	443937
1325	351698	443999
1326	352326	444191
1327	352823	444216
1328	353424	444373
1329	353950	444434
1330	354584	444628
1331	355094	444668
1332	355712	444841
1333	356236	444894
1334	356869	445084
1335	357411	445158
1336	358072	445380
1337	358579	445410
1338	359192	445570
1339	359706	445606
1340	360360	445815
1341	360864	445837
1342	361497	446017
1343	361995	446030
1344	362652	446237
1345	363155	446254
1346	363758	446394
1347	364253	446399
1348	364896	446585
1349	365416	446620
1350	366043	446784
1351	366701	446985
1352	367366	447193
1353	367876	447211
1354	368494	447360
1355	369006	447379
1356	369640	447545
1357	370155	447566
1358	370776	447715
1359	371291	447734
1360	371933	447905
1361	372435	447906
1362	373080	448079
1363	373588	448086
1364	374208	448228
1365	374719	448237
1366	375373	448415
1367	375877	448414
1368	376505	448561
1369	377053	448611
1370	377697	448774
1371	378217	448788
1372	378822	448902
1373	379353	448929
1374	379997	449088
1375	380513	449094
1376	381156	449249
1377	381693	449278
1378	382313	449405
1379	382813	449389
1380	383443	449525
1381	383962	449531
1382	384588	449659
1383	385105	449660
1384	385737	449795
1385	386226	449761
1386	386842	449874
1387	387345	449857
1388	387974	449983
1389	388475	449960
1390	389090	450069
1391	389588	450042
1392	390227	450176
1393	390745	450170
1394	391369	450285
1395	391854	450239
1396	392480	450354
1397	392995	450342
1398	393618	450452
1399	394174	450484
1400	394816	450614
1401	395375	450648
1402	396004	450762
1403	396551	450781
1404	397163	450872
1405	397677	450852
1406	398323	450980
1407	398849	450971
1408	399467	451066
1409	399983	451045
1410	400627	451167
1411	401123	451122
1412	401749	451221
1413	402262	451193
1414	402898	451303
1415	403399	451260
1416	404018	451348
1417	404530	451316
1418	405162	451417
1419	405677	451387
1420	406303	451480
1421	406827	451458
1422	407438	451532
1423	407965	451512
1424	408600	451610
1425	409124	451586
1426	409753	451676
1427	410253	451623
1428	410905	451737
1429	411428	451708
1430	412047	451783
1431	412552	451733
1432	413207	451846
1433	413717	451800
1434	414349	451886
1435	414862	451842
1436	415539	451975
1437	416048	451924
1438	416668	451993
1439	417186	451951
1440	417863	452080
1441	418370	452026
1442	418984	452084
1443	419510	452048
1444	420214	452202
1445	420846	452279
1446	421492	452368
1447	422036	452348
1448	422644	452395
1449	423144	452327
1450	423799	452423
1451	424320	452374
1452	424947	452438
1453	425451	452371
1454	426102	452459
1455	426603	452387
1456	427240	452458
1457	427760	452405
1458	428400	452477
1459	428905	452407
1460	429527	452458
1461	430067	452423
1462	430682	452466
1463	431177	452383
1464	431810	452443
1465	432344	452399
